Year,Total Arrests,Total Population,Total Arrest Rates
1980,440692,195184495,225.78
1981,414158,196634975,210.62
1982,492614,198037449,248.75
1983,464296,199419922,232.82
1984,491971,200707685,245.12
1985,557696,202031150,276.04
1986,543521,203429727,267.18
1987,604032,204770105,294.98
1988,696399,206129039,337.85
1989,797072,207540027,384.06
1990,641096,209366661,306.21
1991,582731,211606011,275.38
1992,625326,213945622,292.28
1993,674756,216187073,312.12
1994,834472,218304774,382.25
1995,910293,220384783,413.05
1996,933390,222420050,419.65
1997,988840,224553464,440.36
1998,965556,226648119,426.02
1999,966783,228687790,422.75
2000,1005853,230594824,436.2
2001,1014107,232511990,436.15
2002,997627,234290692,425.81
2003,1097610,235935468,465.22
2004,1141852,237717693,480.34
2005,1202924,239463913,502.34
2006,1208364,241307898,500.76
2007,1179813,243260572,485
2008,1093965,245059911,446.41
2009,1086003,246622506,440.35
2010,1093909,245747686,445.13
2011,1025251,246957553,415.15
2012,1040991,248166287,419.47
