"LOCATION","Country","VAR","Variable","AGE","Age groups","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MNW_MENW","Mean to median net wealth","TP","Total Population","2012","2012","RATIO","Ratio","0","Units",,,1.63238403480356,,
"AUS","Australia","RATIO_TOP","Ratio (wealth of top 5%-median wealth)/ median","TP","Total Population","2012","2012","RATIO","Ratio","0","Units",,,9.506181,,
"AUS","Australia","RATIO_BOTTOM","Ratio (median wealth-bottom quintile)/median","TP","Total Population","2012","2012","RATIO","Ratio","0","Units",,,0.9591151,,
"AUS","Australia","SHARE10","Share top 10%","TP","Total Population","2012","2012","PC","Percentage","0","Units",,,44.93983,,
"AUS","Australia","SHARE5","Share top 5%","TP","Total Population","2012","2012","PC","Percentage","0","Units",,,32.17216,,
"AUS","Australia","SHARE1","Share top 1%","TP","Total Population","2012","2012","PC","Percentage","0","Units",,,13.30192,,
"AUT","Austria","MNW_MENW","Mean to median net wealth","TP","Total Population","2010","2010","RATIO","Ratio","0","Units",,,3.60263765341023,,
"AUT","Austria","RATIO_TOP","Ratio (wealth of top 5%-median wealth)/ median","TP","Total Population","2010","2010","RATIO","Ratio","0","Units",,,34.71107,,
"AUT","Austria","RATIO_BOTTOM","Ratio (median wealth-bottom quintile)/median","TP","Total Population","2010","2010","RATIO","Ratio","0","Units",,,1.101767,,
"AUT","Austria","SHARE10","Share top 10%","TP","Total Population","2010","2010","PC","Percentage","0","Units",,,61.71487,,
"AUT","Austria","SHARE5","Share top 5%","TP","Total Population","2010","2010","PC","Percentage","0","Units",,,48.71677,,
"AUT","Austria","SHARE1","Share top 1%","TP","Total Population","2010","2010","PC","Percentage","0","Units",,,24.03718,,
"BEL","Belgium","MNW_MENW","Mean to median net wealth","TP","Total Population","2010","2010","RATIO","Ratio","0","Units",,,1.66632155085267,,
"BEL","Belgium","RATIO_TOP","Ratio (wealth of top 5%-median wealth)/ median","TP","Total Population","2010","2010","RATIO","Ratio","0","Units",,,10.07385,,
"BEL","Belgium","RATIO_BOTTOM","Ratio (median wealth-bottom quintile)/median","TP","Total Population","2010","2010","RATIO","Ratio","0","Units",,,0.985291,,
